3D Elements	Priority		Assigned							
Obi Wan Kenobi	1		http://www.mediafire.com/file/8az6z559pjfpur3/Obi+Wan+Kenobi.zip							
Chewbacca	1	Personal use only	https://p3dm.ru/files/characters/soldier/10077-chewbacca.html							
Luke Tattooine Gto		"You are free to:Share — copy and redistribute the material in any medium or format
Adapt — remix, transform, and build upon the material
for any purpose, even commercially."	https://sketchfab.com/models/9232674e4e0c406b9ba32c58f7b0bd79#							
Storm Tropper	1	"Usage:Personal use
only for:Educational purposes
"	https://free3d.com/3d-model/puo-4041-7174.html							
SandTrooper		Personal use only License	https://free3d.com/3d-model/star-wars-sandtrooper-72741.html							
C3PO		Personal use only License	https://free3d.com/3d-model/star-wars-tfu-c3po-81977.html							
Random Droid 1		Personal use only License	https://free3d.com/3d-model/star-wars-r5-d4-17000.html							
Star Wars: Battlefront - Death trooper		"Credits to Electronic Arts, DICE and LucasArts and people on Facepunch for extracting the model from the game."	https://sketchfab.com/models/5ea3a2febc364844b4933280c8e23146							
BB8 3d model		Personal use only License	https://free3d.com/3d-model/bb8-35865.html							
monster Low poly + Pixel		"You are free to:Share — copy and redistribute the material in any medium or format
Adapt — remix, transform, and build upon the material
for any purpose, even commercially."	https://sketchfab.com/models/a7caf4f7963542e9a273958e8bb2a7b0							
Mos Eisley Cantina (COMPLETE0			https://3dwarehouse.sketchup.com/model/7e60fb6a605144821c2cae0e076f7305/Mos-Eisley-Cantina-COMPLETE0							
Han Solo T-Pose		https://creativecommons.org/licenses/by-nc/4.0/	https://sketchfab.com/models/14331e66ed3d4d589b534f892f8933f1							
SW-GOH - Wicket		https://creativecommons.org/licenses/by/4.0/	https://sketchfab.com/models/4a3e7c13e9df4fcfaa7e2c5346d92ac5							
Star Wars - C3PO		https://creativecommons.org/licenses/by/4.0/	https://sketchfab.com/models/6bb0be59be404ab0b880a46783f69ade							
"Sofás, Conjunto de 2 e 3 Lugares - Preto"			https://3dwarehouse.sketchup.com/model/ea155acb6fb542cba94278b3c42f1bf/Sof%C3%A1s-Conjunto-de-2-e-3-Lugares-Preto							
R2-D2		https://creativecommons.org/licenses/by/4.0/	https://sketchfab.com/models/998cdb732b204bfbb07d4fa09f8216a0							
										
										
.bip		http://www.dogame.com.cn/bbs/viewthread.php?tid=15597&extra=page%3D1								
